"Timestamp","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)","Who made this simulation?","  How confident are you?  ","  How human-like is this behavior?  ","How experienced did the operator seem to you? (Regardless of whether it was human or AI.)","Which personality traits are visible? (select all that apply)","What made you choose AI or Human? (select all that apply)"
"2025/04/24 4:31:28 pm EET","AI","4","2","","Rushed","The behavior was too fast;The session was too short;The actions felt random or chaotic","AI","4","2","","Meticulous (=showing great attention to detail; very careful and precise)","There were very few interactions;The actions felt random or chaotic;The actions were too careful or overly meticulous","AI","3","2","","Meticulous (=showing great attention to detail; very careful and precise)","The actions were too careful or overly meticulous","Human","4","4","","Focused","The behavior felt natural and realistic","Human","4","5","","Focused","The behavior felt natural and realistic","Human","3","3","","Distracted","The behavior felt natural and realistic","AI","3","3","","Rushed","The session was too short","Human","3","3","","Focused","There were very few interactions","Human","4","2","","Distracted","The behavior felt natural and realistic","Human","4","4","","Attentive","The behavior felt natural and realistic"
"2025/04/25 8:33:49 am EEST","AI","4","1","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","The behavior was too fast;The actions felt random or chaotic","Human","3","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive;Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","AI","5","1","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","There were very few interactions;The actions felt random or chaotic","Human","4","4","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Distracted","The behavior felt natural and realistic","AI","3","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Rushed;Distracted","The behavior was too fast;The session was too short;The actions felt random or chaotic;The actions were too careful or overly meticulous","AI","4","1","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","The actions felt random or chaotic","Human","3","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive;Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","AI","1","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused;Attentive","There were very few interactions","Human","4","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused;Attentive;Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","AI","4","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Meticulous (=showing great attention to detail; very careful and precise);Rushed","The behavior was too fast;The session was too short;The actions felt random or chaotic"
"2025/04/25 9:59:55 am EEST","AI","3","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Rushed","There were very few interactions","","4","5","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Focused","The behavior felt natural and realistic","AI","2","1","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Meticulous (=showing great attention to detail; very careful and precise)","The behavior was too fast","Human","5","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The behavior felt natural and realistic","AI","4","3","Hard to tell","Focused","The behavior was too fast","Human","4","5","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Distracted","The actions felt random or chaotic","AI","1","3","Hard to tell","Attentive","The actions felt random or chaotic","Human","1","3","Hard to tell","Attentive","The behavior felt natural and realistic","AI","1","3","","Attentive","The behavior felt natural and realistic","Human","3","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Meticulous (=showing great attention to detail; very careful and precise)","The actions were too careful or overly meticulous"
"2025/04/25 10:22:44 am EEST","AI","4","1","Hard to tell","Rushed;Distracted","The behavior was too fast;The session was too short;There were very few interactions;The actions felt random or chaotic","AI","3","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused;Attentive","The actions were too careful or overly meticulous","Human","2","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","The behavior felt natural and realistic","Human","2","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Distracted","The actions were too careful or overly meticulous","Human","3","4","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused","The behavior felt natural and realistic","Human","2","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","The behavior felt natural and realistic","Human","4","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused","The behavior felt natural and realistic","Human","3","5","Hard to tell","Focused","The behavior felt natural and realistic","Human","3","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Distracted","The behavior felt natural and realistic","AI","3","2","Hard to tell","Rushed;Distracted","The actions felt random or chaotic"
"2025/04/25 12:15:46 pm EEST","AI","4","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Meticulous (=showing great attention to detail; very careful and precise);Rushed","The behavior was too fast;The session was too short;There were very few interactions","Human","4","5","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","confused","There were very few interactions;The actions were too careful or overly meticulous","AI","3","3","Hard to tell","Focused","The actions felt random or chaotic","Human","5","5","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused","The behavior felt natural and realistic;They tried to create different users after failed attempts","Human","3","4","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Rushed","The behavior felt natural and realistic;Looked like someone who doesn't know the app and clicks on some menu-options to see what it does","AI","4","2","Hard to tell","Distracted","The actions felt random or chaotic","AI","3","3","Hard to tell","Distracted","The session was too short;The actions felt random or chaotic","AI","3","3","Hard to tell","Rushed","The session was too short;There were very few interactions","Human","2","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","The behavior felt natural and realistic","AI","3","3","Hard to tell","Rushed;Distracted","The session was too short;The behavior felt natural and realistic"
"2025/04/25 2:31:47 pm EEST","AI","4","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Rushed","The behavior was too fast;The session was too short","Human","3","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Distracted","The behavior felt natural and realistic","AI","3","3","Hard to tell","Distracted","The actions felt random or chaotic;Added ""testuser6"" to groups. A human would call it ""testuser"" I assume since the overview was empty (despite being in the wrong category ""groups"" I guess)","Human","5","5","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Distracted","The behavior felt natural and realistic;Using 111 as ""suffix"" is something I would do as well for the testuser if 10 is allready taken","AI","4","2","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Focused","The actions were too careful or overly meticulous","Human","2","3","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Attentive","The behavior felt natural and realistic","AI","4","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused","The behavior was too fast;There were very few interactions","AI","3","3","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","The session was too short","Human","4","4","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Focused;Attentive","The behavior felt natural and realistic","AI","4","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Rushed","The behavior was too fast;The session was too short;There were very few interactions"
"2025/04/25 3:14:28 pm EEST","AI","4","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Rushed","The behavior was too fast;The actions felt random or chaotic","Human","4","4","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","Human","4","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused;Attentive;Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","Human","5","5","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Attentive","The behavior felt natural and realistic","Human","4","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The behavior felt natural and realistic","Human","5","5","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Meticulous (=showing great attention to detail; very careful and precise);Distracted","The behavior felt natural and realistic","Human","4","4","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","There were very few interactions","Human","4","5","Hard to tell","Distracted","The behavior felt natural and realistic","Human","5","5","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","Human","3","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","There were very few interactions"
"2025/04/28 9:09:18 pm EEST","AI","5","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Rushed","The behavior was too fast;The session was too short;There were very few interactions","Human","3","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused;Attentive","The behavior felt natural and realistic","Human","3","4","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Rushed;Distracted","The actions felt random or chaotic","AI","4","2","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Distracted","The actions felt random or chaotic;extreme high variance in password inputs, did not view the logs but monitor twice","Human","2","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Focused","The behavior felt natural and realistic;password repeat was fast -> indicates copy paste which i do not expect from ai","AI","4","1","Hard to tell","Focused","The actions felt random or chaotic;created new monitor instead of user","AI","5","2","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","The behavior was too fast;The session was too short;There were very few interactions;instant input on all fields at once","AI","4","2","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Rushed;Distracted","The behavior was too fast;The session was too short;The actions felt random or chaotic","AI","3","3","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Distracted","The actions felt random or chaotic","AI","4","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","The behavior was too fast;The session was too short"
"2025/04/30 3:34:51 pm EEST","AI","3","3","Hard to tell","Attentive","too much time spent on unimportant pages","AI","4","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Distracted","The actions felt random or chaotic","AI","3","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","There were very few interactions","AI","4","2","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The actions were too careful or overly meticulous","Human","4","4","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused","The behavior felt natural and realistic","AI","4","2","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Distracted","The session was too short;The actions felt random or chaotic","AI","3","2","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Rushed","The session was too short;There were very few interactions","Human","3","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The behavior felt natural and realistic","Human","4","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The behavior felt natural and realistic","Human","3","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The behavior felt natural and realistic"
"2025/05/02 3:55:29 pm EEST","AI","4","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Rushed","The behavior was too fast;There were very few interactions","Human","5","5","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","Human","4","4","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Attentive","The behavior felt natural and realistic","Human","4","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Attentive","The actions were too careful or overly meticulous;The behavior felt natural and realistic","AI","5","3","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","The session was too short;The actions were too careful or overly meticulous","AI","5","1","Inexperienced – seemed uncertain or unfamiliar with how to navigate the system.","Distracted","The actions felt random or chaotic","AI","5","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive;Meticulous (=showing great attention to detail; very careful and precise)","The session was too short;The actions were too careful or overly meticulous","AI","5","3","Somewhat experienced – made a few hesitations or backtracks, but generally understood the system.","Rushed","The session was too short;There were very few interactions","Human","5","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Meticulous (=showing great attention to detail; very careful and precise)","The behavior felt natural and realistic","AI","5","5","Very experienced – seemed confident, efficient, and familiar with the interface.","Focused;Attentive","The session was too short;The actions were too careful or overly meticulous"
